article,available_sizes,beautyDiscount,brandName,brand_route,brand_title,colection,discount,discountId,hasVariantPrice,id,image,image_count,images,item,line,mannequins,maxPrice,maxPriceOld,minPrice,minPriceOld,model,monoBrand,newIn,outfit,price,priceInStore,priceOld,route,season,sizeTable_name,sizeTable_show,sizeTable_title,title,variant_count,warehouse
Q1WTE,S,,Alexander McQueen,/az/brands/alexandermcqueen,Alexander McQueen,woman,50,,False,143025,143025-310573_1604642265001.5060238p410.JPG,4,"143025-310573_1604642265001.5060238p410.JPG, 143025-310574_1604642269135.5060238p61.JPG, 143025-310575_1604642273465.5060238p608.JPG, 143025-310576_1604642277703.5060238p47.JPG",skirt,WOMEN'S RTW,,524,1048,524,1048,559021,False,False,143025-310574_1604642269135.5060238p61.JPG,524,False,1048,/az/products/tul-dizaynli-etek-143025,2019,xl,False,XL,Tül dizaynlı ətək,1,Premium
Q1WTD,S,,Alexander McQueen,/az/brands/alexandermcqueen,Alexander McQueen,woman,50,,False,143022,143022-310325_1604497467772.5060208p823.JPG,4,"143022-310325_1604497467772.5060208p823.JPG, 143022-310326_1604497471872.5060208p166.JPG, 143022-310327_1604497475922.5060208p758.JPG, 143022-310328_1604497480027.5060208p482.JPG",top,WOMEN'S RTW,,484,968,484,968,559020,False,False,143022-310326_1604497471872.5060208p166.JPG,484,False,968,/az/products/volanla-dizaynli-top-143022,2019,xl,False,XL,Volanla dizaynlı top,1,Premium
QMJ09,40,,Alexander McQueen,/az/brands/alexandermcqueen,Alexander McQueen,woman,50,,False,143016,143016-310297_1604492809680.5060148p743.JPG,4,"143016-310297_1604492809680.5060148p743.JPG, 143016-310298_1604492813782.5060148p837.JPG, 143016-310299_1604492818056.5060148p437.JPG, 143016-310300_1604492822127.5060148p276.JPG",trousers,WOMEN'S RTW,,437,874,437,874,553297,False,False,143016-310298_1604492813782.5060148p837.JPG,437,False,874,/az/products/duz-bicimli-salvar-143016,2019,it,False,IT,Düz biçimli şalvar,1,Premium
QMJ03,42,,Alexander McQueen,/az/brands/alexandermcqueen,Alexander McQueen,woman,50,,False,143013,143013-310429_1604564804357.5060118p689.JPG,4,"143013-310429_1604564804357.5060118p689.JPG, 143013-310430_1604564808548.5060118p211.jpg, 143013-310431_1604564812921.5060118p620.JPG, 143013-310432_1604564817410.5060118p181.JPG",trousers,WOMEN'S RTW,,444.5,889,444.5,889,547161,False,False,143013-310430_1604564808548.5060118p211.jpg,444.5,False,889,/az/products/zolaqli-yan-hisselerle-dizaynli-salvar-143013,2019,it,False,IT,Zolaqlı yan hissələrlə dizaynlı şalvar,1,Premium
QMJ05,38,,Alexander McQueen,/az/brands/alexandermcqueen,Alexander McQueen,woman,50,,False,143012,143012-310281_1604490403042.5060108p902.JPG,4,"143012-310281_1604490403042.5060108p902.JPG, 143012-310282_1604490407190.5060108p759.jpg, 143012-310283_1604490411251.5060108p267.JPG, 143012-310284_1604490415395.5060108p970.JPG",short,WOMEN'S RTW,,442,884,442,884,571352,False,False,143012-310282_1604490407190.5060108p759.jpg,442,False,884,/az/products/damali-printli-sort-143012,2019,it,False,IT,Damalı printli şort,1,Premium
Q1RRT,XL,,Alexander McQueen,/az/brands/alexandermcqueen,Alexander McQueen,woman,50,,False,143009,143009-310433_1604565632018.5060078p566.JPG,4,"143009-310433_1604565632018.5060078p566.JPG, 143009-310434_1604565636264.5060078p942.JPG, 143009-310435_1604565640390.5060078p553.JPG, 143009-310436_1604565644993.5060078p614.JPG",skirt,WOMEN'S RTW,,419.5,839,419.5,839,559092,False,False,143009-310434_1604565636264.5060078p942.JPG,419.5,False,839,/az/products/printli-qelem-etek-143009,2019,xl,False,XL,Printli qələm ətək,1,Premium
QMM09,24,,Alexander McQueen,/az/brands/alexandermcqueen,Alexander McQueen,woman,50,,False,142997,142997-310680_1604649069767.5059958p306.JPG,4,"142997-310680_1604649069767.5059958p306.JPG, 142997-310681_1604649073849.5059958p124.JPG, 142997-310682_1604649078116.5059958p93.JPG, 142997-310683_1604649082401.5059958p741.JPG",jeans,WOMEN'S RTW,,308.5,617,308.5,617,559500,False,False,142997-310681_1604649073849.5059958p124.JPG,308.5,False,617,/az/products/duz-bicimli-denim-salvar-142997,2019,denim,True,DENIM,Düz biçimli denim şalvar,1,Premium
QMM11,"26, 27",,Alexander McQueen,/az/brands/alexandermcqueen,Alexander McQueen,woman,50,,False,142996,142996-310693_1604649460108.5059948p860.JPG,2,"142996-310693_1604649460108.5059948p860.JPG, 142996-310694_1604649465004.5059948p681.JPG",jeans,WOMEN'S RTW,,292.5,585,292.5,585,561781,False,False,142996-310694_1604649465004.5059948p681.JPG,292.5,False,585,/az/products/dar-bicimli-denim-salvar-142996,2019,denim,True,DENIM,Dar biçimli denim şalvar,2,Premium
QMM10,"25, 27",,Alexander McQueen,/az/brands/alexandermcqueen,Alexander McQueen,woman,50,,False,142994,142994-319064_1610344928639.5059928p320.JPG,4,"142994-319064_1610344928639.5059928p320.JPG, 142994-319065_1610344932677.5059928p976.JPG, 142994-319066_1610344936821.5059928p301.JPG, 142994-319067_1610344941013.5059928p377.JPG",jeans,WOMEN'S RTW,,283.5,567,283.5,567,559497,False,False,142994-319065_1610344932677.5059928p976.JPG,283.5,False,567,/az/products/duz-bicimli-denim-salvar-142994,2019,denim,True,DENIM,Düz biçimli denim şalvar,2,Premium
1,44,,Valentino Red,/az/brands/valentinored,Valentino Red,woman,50,,False,142748,142748-311499_1605247644256.5057468p264.JPG,4,"142748-311499_1605247644256.5057468p264.JPG, 142748-311500_1605247648344.5057468p62.JPG, 142748-311501_1605247652757.5057468p324.JPG, 142748-311502_1605247657014.5057468p682.JPG",overalls,Red Valentino,,466,932,466,932,RR3VEA15HGA,False,False,142748-311500_1605247648344.5057468p62.JPG,466,False,932,/az/products/ibli-dizaynli-kombinezon-142748,2019,it,False,IT,Сibli dizaynlı kombinezon,1,Premium
